dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,9,0.526,0.526,1.355,8,0.556,0.556,2.828,4.4672
dataset_1,9,0.526,0.526,1.355,8,0.556,0.556,2.828,4.5309
dataset_2,11,0.526,0.421,1.916,10,0.556,0.444,3.464,4.4397
dataset_3,10,0.444,0.444,1.225,9,0.471,0.471,3.0,4.4135
dataset_4,9,0.526,0.526,1.355,8,0.556,0.556,2.828,4.3949
dataset_5,10,0.6,0.5,1.86,9,0.632,0.526,3.317,4.3684
dataset_6,11,0.421,0.421,1.735,10,0.556,0.444,3.464,4.4115
dataset_7,9,0.526,0.526,1.355,8,0.556,0.556,2.828,4.3685
dataset_8,10,0.6,0.5,1.86,9,0.632,0.526,3.317,4.3713
dataset_9,9,0.526,0.526,1.355,8,0.556,0.556,2.828,4.4168
Overall Average,9.7000 ± 0.8233,0.5221 ± 0.0563,0.4916 ± 0.0451,1.5371 ± 0.2697,8.7000 ± 0.8233,0.5627 ± 0.0451,0.5191 ± 0.0477,3.0702 ± 0.2848,4.4183
